model,method,#VP_m,#VP_s,Time_m,Time_s,Excl_m,Excl_s,CV_m,CV_s,Ovl_m,Ovl_s,_is_key,method_ord,_key_sort
0034,Potential Field,5.0000,0.0000,8.3132,0.0000,11.9470,0.0000,0.7672,0.0000,,0.0000,False,3,1
0036,Potential Field,4.0000,0.0000,2.9012,0.0000,12.9250,0.0000,0.5948,0.0000,,0.0000,False,3,1
0038,Potential Field,4.0000,0.0000,5.7648,0.0000,13.2272,0.0000,0.5687,0.0000,,0.0000,False,3,1
0041,Potential Field,4.0000,0.0000,3.8610,0.0000,12.7343,0.0000,0.4886,0.0000,,0.0000,False,3,1
0042,Potential Field,4.0000,0.0000,12.6999,0.0000,6.7953,0.0000,0.6501,0.0000,,0.0000,False,3,1
0043,Potential Field,7.0000,0.0000,38.0493,0.0000,2.8067,0.0000,0.6881,0.0000,,0.0000,False,3,1
0044,Potential Field,3.0000,0.0000,2.0125,0.0000,23.3187,0.0000,0.6393,0.0000,,0.0000,False,3,1
0046,Potential Field,4.0000,0.0000,4.8964,0.0000,13.2333,0.0000,0.7963,0.0000,,0.0000,False,3,1
0050,Potential Field,3.0000,0.0000,2.3616,0.0000,18.8051,0.0000,0.6862,0.0000,,0.0000,False,3,1
0051,Potential Field,6.0000,0.0000,19.7442,0.0000,6.2045,0.0000,0.5225,0.0000,,0.0000,False,3,1
0052,Potential Field,5.0000,0.0000,19.9494,0.0000,5.9459,0.0000,0.9423,0.0000,,0.0000,False,3,1
0056,Potential Field,7.0000,0.0000,31.6572,0.0000,1.8717,0.0000,0.6993,0.0000,,0.0000,False,3,1
0062,Potential Field,3.0000,0.0000,0.1814,0.0000,26.8180,0.0000,0.4927,0.0000,,0.0000,False,3,1
0066,Potential Field,6.0000,0.0000,29.8507,0.0000,1.7292,0.0000,0.9134,0.0000,,0.0000,False,3,1
