seed,final_coverage,monte_carlo_coverage,num_viewpoints,computation_time,convergence_point,coverage_auc,efficiency,time_efficiency
51,1.0,0.9895,11,0.5377120971679688,14,7.1064,0.09090909090909091,1.8597312674697428
52,0.9981,0.9886,12,0.5662472248077393,14,7.951150000000001,0.083175,1.762657645410783
53,0.9977,0.9814,12,0.5785105228424072,14,8.09395,0.08314166666666667,1.7246013004188425
54,0.9914,0.9643,10,0.47181272506713867,13,6.017800000000001,0.09913999999999999,2.1012574424713204
55,0.9958,0.976,11,0.5356793403625488,13,7.0531999999999995,0.09052727272727273,1.858947928299868
56,0.9913,0.9682,10,0.4818708896636963,13,6.05215,0.09913,2.0571900508284298
57,0.9971,0.9813,12,0.6089115142822266,14,8.049349999999999,0.08309166666666666,1.637512145217623
58,0.9939,0.9757,11,0.5684380531311035,13,7.12395,0.09035454545454545,1.7484754838725913
59,0.9911,0.9757,11,0.5192489624023438,13,7.057550000000001,0.0901,1.9087183061755242
6,0.9934,0.9659,10,0.4820239543914795,13,6.0997,0.09934,2.0608934285311524
60,0.9921,0.9711,12,0.5665485858917236,14,8.02465,0.082675,1.7511296024832121
61,0.9924,0.9762,11,0.52597975730896,13,7.0283999999999995,0.09021818181818181,1.8867646258429396
62,0.9987,0.9871,12,0.5912775993347168,14,7.9685500000000005,0.08322500000000001,1.6890543479470548
63,0.9945,0.9798,12,0.5794994831085205,14,8.00095,0.082875,1.7161361295187973
64,0.9989,0.9898,13,0.6068096160888672,14,8.95795,0.07683846153846154,1.6461505775704637
65,0.9931,0.9749,12,0.5821731090545654,14,8.07155,0.08275833333333334,1.7058500032967334
66,0.999,0.9887,12,0.5743396282196045,14,7.9228000000000005,0.08325,1.7393889449989726
67,0.9924,0.9713,10,0.48977231979370117,13,6.110200000000001,0.09924,2.026247625464037
68,0.9918,0.9775,11,0.5282509326934814,14,7.078600000000001,0.09016363636363636,1.8775167985846108
69,0.9946,0.9752,12,0.5959739685058594,14,7.94,0.08288333333333334,1.6688648373242188
7,0.9947,0.9798,11,0.524139404296875,14,7.011449999999999,0.09042727272727273,1.8977775604075693
70,0.9939,0.9785,12,0.5878255367279053,14,7.928750000000001,0.082825,1.6908077956811527
71,0.9939,0.9672,11,0.5408434867858887,13,7.14745,0.09035454545454545,1.8376850683855406
